,row_date,split,id,calls_answered,aht
226,2020-08-10,904,1290034734,4,31.25
227,2020-08-10,909,1290043839,3,32.6666666666667
228,2020-08-10,909,639043620,1,40.0
229,2020-08-11,902,1290045069,12,26.8333333333333
230,2020-08-11,902,1290043491,6,36.3333333333333
231,2020-08-11,902,1290043839,1,31.0
232,2020-08-11,902,1290024012,15,15.466666666666699
233,2020-08-11,902,1290018936,8,29.25
234,2020-08-11,902,1290013092,11,26.5454545454545
235,2020-08-11,902,1290043815,5,38.4
236,2020-08-11,902,1290038523,11,22.0
237,2020-08-11,902,1290043821,10,38.0
238,2020-08-11,902,1290028206,3,38.6666666666667
239,2020-08-11,902,1290013089,9,22.5555555555556
240,2020-08-11,902,1290029955,4,34.5
241,2020-08-11,902,1290043722,9,28.2222222222222
242,2020-08-11,902,978007026,1,8.0
243,2020-08-11,902,1290043842,5,44.6
244,2020-08-11,902,1290034734,7,42.0
245,2020-08-11,904,1290045069,2,21.5
246,2020-08-11,904,1290043491,2,33.0
247,2020-08-11,904,1290024012,3,29.6666666666667
248,2020-08-11,904,1290018936,1,14.0
249,2020-08-11,904,1290013092,3,34.3333333333333
250,2020-08-11,904,1290043815,1,36.0
251,2020-08-11,904,1290038523,1,32.0
252,2020-08-11,904,1290043821,2,20.5
253,2020-08-11,904,1290028206,2,47.0
254,2020-08-11,904,1290013089,2,24.0
255,2020-08-11,904,1290029955,3,26.0
256,2020-08-11,904,1290043722,2,25.0
257,2020-08-11,904,1290043842,2,35.0
258,2020-08-11,909,1290043815,1,28.0
259,2020-08-11,909,1290038523,1,26.0
260,2020-08-12,902,1290045069,8,20.375
261,2020-08-12,902,1290043491,8,25.625
262,2020-08-12,902,1290043632,2,18.0
263,2020-08-12,902,1290043839,1,43.0
264,2020-08-12,902,1290024012,7,14.714285714285701
265,2020-08-12,902,1290018936,8,36.5
266,2020-08-12,902,1290043815,7,39.2857142857143
267,2020-08-12,902,1290038523,10,24.5
268,2020-08-12,902,1290038817,4,22.75
269,2020-08-12,902,1290044364,15,20.8666666666667
270,2020-08-12,902,1290043821,5,49.4
271,2020-08-12,902,1290028206,6,23.3333333333333
272,2020-08-12,902,1290013089,12,19.0833333333333
273,2020-08-12,902,1290029955,9,31.888888888888896
274,2020-08-12,902,1290043722,9,21.5555555555556
275,2020-08-12,902,978007026,6,15.0
276,2020-08-12,902,1290043842,7,31.857142857142897
277,2020-08-12,902,1290034734,8,42.25
278,2020-08-12,904,1290045069,2,67.0
279,2020-08-12,904,1290043491,2,20.5
280,2020-08-12,904,1290043632,2,20.5
281,2020-08-12,904,1290024012,8,16.375
282,2020-08-12,904,1290038523,1,28.0
283,2020-08-12,904,1290038817,3,18.3333333333333
284,2020-08-12,904,1290043821,1,33.0
285,2020-08-12,904,1290028206,3,36.0
286,2020-08-12,904,1290013089,3,36.6666666666667
287,2020-08-12,904,1290029955,1,49.0
288,2020-08-12,904,1290043722,2,23.0
289,2020-08-12,904,1290043842,1,65.0
290,2020-08-12,904,1290034734,1,43.0
291,2020-08-12,909,1290018936,1,36.0
292,2020-08-12,909,1290043821,1,49.0
293,2020-08-12,909,1290043842,1,47.0
294,2020-08-13,902,1290045069,8,18.375
295,2020-08-13,902,1290043491,10,27.9
296,2020-08-13,902,1290043632,1,29.0
297,2020-08-13,902,1290043839,2,23.0
298,2020-08-13,902,1290024012,15,19.2
299,2020-08-13,902,1290018936,6,31.8333333333333
300,2020-08-13,902,1290043815,7,34.0
301,2020-08-13,902,1290038523,14,22.142857142857103
302,2020-08-13,902,1290038817,6,32.0
303,2020-08-13,902,1290044364,16,17.3125
304,2020-08-13,902,1290043821,7,34.7142857142857
305,2020-08-13,902,1290028206,5,23.8
306,2020-08-13,902,1290013089,7,30.142857142857103
307,2020-08-13,902,1290029955,3,40.3333333333333
308,2020-08-13,902,1290043722,8,29.625
309,2020-08-13,902,978007026,1,33.0
310,2020-08-13,902,1290043842,8,38.5
311,2020-08-13,902,1290034734,7,30.714285714285698
312,2020-08-13,904,1290045069,8,22.0
313,2020-08-13,904,1290024012,1,15.0
314,2020-08-13,904,1290018936,1,46.0
315,2020-08-13,904,1290043815,2,51.0
316,2020-08-13,904,1290038817,1,31.0
317,2020-08-13,904,1290044364,3,16.0
318,2020-08-13,904,1290043821,1,50.0
319,2020-08-13,904,1290029955,1,17.0
320,2020-08-13,904,1290043722,3,45.3333333333333
321,2020-08-13,904,1290043842,2,26.5
322,2020-08-13,904,1290034734,3,42.3333333333333
323,2020-08-13,909,1290018936,1,39.0
324,2020-08-13,909,1290044364,1,15.0
325,2020-08-14,902,1290045069,4,28.0
326,2020-08-14,902,1290043491,10,30.6
327,2020-08-14,902,1290043839,1,43.0
328,2020-08-14,902,1290024012,8,20.75
329,2020-08-14,902,1290018936,9,36.22222222222221
330,2020-08-14,902,1290043815,8,21.875
331,2020-08-14,902,1290038817,7,25.0
332,2020-08-14,902,1290044364,12,22.5833333333333
333,2020-08-14,902,1290043821,7,44.71428571428571
334,2020-08-14,902,1290028206,6,43.0
335,2020-08-14,902,1290013089,8,29.625
336,2020-08-14,902,1290029955,8,27.25
337,2020-08-14,902,1290043722,8,32.125
338,2020-08-14,902,1290043842,5,43.4
339,2020-08-14,902,1290034734,4,28.75
340,2020-08-14,904,1290045069,1,35.0
